,cell_ontology_class,cell_ontology_id,tissue,free_annotation,id,term,other_ids,other_terms
79,"CD8-positive, alpha-beta T cell",,Brain_Non-Myeloid,,CL:0000625,"CD8-positive, alpha-beta T cell",CL:0000811;CL:0000909;CL:0000794;CL:0001203;CL:0000795;CL:0001052;CL:0000920;CL:0000908;CL:0001041,"CD8-positive, alpha-beta thymocyte;CD8-positive, alpha-beta memory T cell;CD8-positive, alpha-beta cytotoxic T cell;CD8-positive, alpha-beta memory T cell, CD45RO-positive;CD8-positive, alpha-beta regulatory T cell;CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell;CD8-positive, CD28-negative, alpha-beta regulatory T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"
80,DN4 thymocyte,,Thymus,DN4 thymocyte,CL:0000808,DN4 thymocyte,,
81,DN4 thymocyte,CL:0000738,Thymus,DN4 thymocyte,CL:0000808,DN4 thymocyte,,
82,DN4 thymocyte,CL:0000894,Thymus,DN4 thymocyte,CL:0000808,DN4 thymocyte,,
83,DN4 thymocyte,CL:0002420,Thymus,DN4 thymocyte,CL:0000808,DN4 thymocyte,,
84,Kupffer cell,CL:0000091,Liver,Kupffer cell,CL:0000091,Kupffer cell,,
85,Kupffer cell,,Liver,,CL:0000091,Kupffer cell,,
86,Kupffer cell,,Liver,Kupffer cell,CL:0000091,Kupffer cell,,
87,Kupffer cell,CL:0000091,Liver,,CL:0000091,Kupffer cell,,
88,NK cell,CL:0000623,BAT,,CL:0000623,natural killer cell,,
89,NK cell,CL:0000235,Spleen,,CL:0000623,natural killer cell,,
90,NK cell,,Lung,Natural Killer,CL:0000623,natural killer cell,,
91,NK cell,CL:0000236,Marrow,NK cell,CL:0000623,natural killer cell,,
92,NK cell,CL:0000937,Marrow,NK cell,CL:0000623,natural killer cell,,
93,NK cell,,Liver,,CL:0000623,natural killer cell,,
94,NK cell,,GAT,,CL:0000623,natural killer cell,,
95,NK cell,,Marrow,Klrb1a/b/c(-) NK cell,CL:0000623,natural killer cell,,
96,NK cell,CL:0000824,Marrow,NK cell,CL:0000623,natural killer cell,,
97,NK cell,CL:0000623,Lung,Natural Killer,CL:0000623,natural killer cell,,
98,NK cell,,Marrow,NK cell,CL:0000623,natural killer cell,,
99,NK cell,,MAT,,CL:0000623,natural killer cell,,
100,NK cell,CL:0000084,BAT,,CL:0000623,natural killer cell,,
101,NK cell,CL:0000623,MAT,,CL:0000623,natural killer cell,,
102,NK cell,CL:0002420,Marrow,NK cell,CL:0000623,natural killer cell,,
103,NK cell,CL:0000823,Marrow,NK cell,CL:0000623,natural killer cell,,
104,NK cell,CL:0000084,SCAT,,CL:0000623,natural killer cell,,
105,NK cell,CL:0000236,Spleen,,CL:0000623,natural killer cell,,
106,NK cell,,Spleen,,CL:0000623,natural killer cell,,
107,NK cell,CL:0000623,Liver,,CL:0000623,natural killer cell,,
108,NK cell,CL:0000914,Marrow,NK cell,CL:0000623,natural killer cell,,
109,NK cell,CL:0000623,GAT,,CL:0000623,natural killer cell,,
110,NK cell,CL:0000094,Marrow,Klrb1a/b/c(-) NK cell,CL:0000623,natural killer cell,,
111,NK cell,CL:0000236,Marrow,Klrb1a/b/c(-) NK cell,CL:0000623,natural killer cell,,
112,NK cell,,BAT,,CL:0000623,natural killer cell,,
113,NK cell,,SCAT,,CL:0000623,natural killer cell,,
114,NK cell,CL:0000084,GAT,,CL:0000623,natural killer cell,,
115,T cell,,Heart,T cell,CL:0000084,T cell,,
116,T cell,CL:0002306,Kidney,T cell,CL:0000084,T cell,,
117,T cell,CL:0000128,Brain_Non-Myeloid,,CL:0000084,T cell,,
118,T cell,,Diaphragm,,CL:0000084,T cell,,
119,T cell,CL:0000738,Skin,,CL:0000084,T cell,,
120,T cell,,Trachea,,CL:0000084,T cell,,
121,T cell,,BAT,,CL:0000084,T cell,,
122,T cell,,Lung,Ly6g5b+ T,CL:0000084,T cell,,
123,T cell,CL:0000084,MAT,,CL:0000084,T cell,,
124,T cell,CL:0000236,SCAT,,CL:0000084,T cell,,
125,T cell,CL:0000084,GAT,,CL:0000084,T cell,,
126,T cell,CL:0000134,Diaphragm,,CL:0000084,T cell,,
127,T cell,CL:0000084,BAT,,CL:0000084,T cell,,
128,T cell,,Lung,T cell,CL:0000084,T cell,,
129,T cell,,Liver,,CL:0000084,T cell,,
130,T cell,CL:0000738,Heart,T cell,CL:0000084,T cell,,
131,T cell,CL:0000084,Limb_Muscle,,CL:0000084,T cell,,
132,T cell,CL:0000623,BAT,,CL:0000084,T cell,,
133,T cell,CL:0000594,Limb_Muscle,,CL:0000084,T cell,,
134,T cell,CL:0000542,Diaphragm,,CL:0000084,T cell,,
135,T cell,,Limb_Muscle,,CL:0000084,T cell,,
136,T cell,,Kidney,T cell,CL:0000084,T cell,,
137,T cell,CL:0000738,Kidney,T cell,CL:0000084,T cell,,
138,T cell,,Skin,,CL:0000084,T cell,,
139,T cell,CL:0000081,Trachea,,CL:0000084,T cell,,
140,T cell,,GAT,,CL:0000084,T cell,,
141,T cell,,MAT,,CL:0000084,T cell,,
142,T cell,,Brain_Non-Myeloid,,CL:0000084,T cell,,
143,T cell,CL:0000084,SCAT,,CL:0000084,T cell,,
144,T cell,CL:0000623,Liver,,CL:0000084,T cell,,
145,T cell,,SCAT,,CL:0000084,T cell,,
146,adventitial cell,CL:0000499,Lung,Adventitial Fibroblast,CL:0002503,adventitial cell,CL:0000669;CL:1000708,pericyte cell;ureter adventitial cell
147,adventitial cell,,Lung,Adventitial Fibroblast,CL:0002503,adventitial cell,CL:0000669;CL:1000708,pericyte cell;ureter adventitial cell
148,aortic endothelial cell,,Aorta,endocardial endothelial cells,CL:0002544,aortic endothelial cell,,
149,aortic endothelial cell,CL:0000232,Aorta,,CL:0002544,aortic endothelial cell,,
150,aortic endothelial cell,CL:0000115,Aorta,aorta endothelial cell,CL:0002544,aortic endothelial cell,,
151,aortic endothelial cell,CL:0000115,Aorta,,CL:0002544,aortic endothelial cell,,
152,aortic endothelial cell,,Aorta,coronary vascular endothelial cell,CL:0002544,aortic endothelial cell,,
153,aortic endothelial cell,CL:0000115,Aorta,endocardial endothelial cells,CL:0002544,aortic endothelial cell,,
154,aortic endothelial cell,CL:0000115,Aorta,coronary vascular endothelial cell,CL:0002544,aortic endothelial cell,,
155,aortic endothelial cell,,Aorta,,CL:0002544,aortic endothelial cell,,
156,astrocyte,CL:0000127,Brain_Non-Myeloid,,CL:0000127,astrocyte,CL:0002606;CL:0002603;CL:0002604;CL:0002605;CL:0012000;CL:0000683;CL:0002626;CL:0002627;CL:0000644,astrocyte of the spinal cord;astrocyte of the cerebellum;astrocyte of the hippocampus;astrocyte of the cerebral cortex;astrocyte of the forebrain;ependymoglial cell;immature astrocyte;mature astrocyte;Bergmann glial cell
157,astrocyte,CL:0000128,Brain_Non-Myeloid,,CL:0000127,astrocyte,CL:0002606;CL:0002603;CL:0002604;CL:0002605;CL:0012000;CL:0000683;CL:0002626;CL:0002627;CL:0000644,astrocyte of the spinal cord;astrocyte of the cerebellum;astrocyte of the hippocampus;astrocyte of the cerebral cortex;astrocyte of the forebrain;ependymoglial cell;immature astrocyte;mature astrocyte;Bergmann glial cell
158,astrocyte,,Brain_Non-Myeloid,,CL:0000127,astrocyte,CL:0002606;CL:0002603;CL:0002604;CL:0002605;CL:0012000;CL:0000683;CL:0002626;CL:0002627;CL:0000644,astrocyte of the spinal cord;astrocyte of the cerebellum;astrocyte of the hippocampus;astrocyte of the cerebral cortex;astrocyte of the forebrain;ependymoglial cell;immature astrocyte;mature astrocyte;Bergmann glial cell
159,astrocyte,CL:0000644,Brain_Non-Myeloid,,CL:0000127,astrocyte,CL:0002606;CL:0002603;CL:0002604;CL:0002605;CL:0012000;CL:0000683;CL:0002626;CL:0002627;CL:0000644,astrocyte of the spinal cord;astrocyte of the cerebellum;astrocyte of the hippocampus;astrocyte of the cerebral cortex;astrocyte of the forebrain;ependymoglial cell;immature astrocyte;mature astrocyte;Bergmann glial cell
160,atrial myocyte,CL:0000738,Heart,atrial cardiomyocyte,CL:0002129,regular atrial cardiac myocyte,CL:1000288;CL:1000289;CL:1000372;CL:1000363;CL:1000365,myocyte of atrial branch of anterior internodal tract;myocyte of atrial septal branch of anterior internodal tract;transitional myocyte of atrial part of atrioventricular bundle;transitional myocyte of atrial branch of anterior internodal tract;transitional myocyte of atrial septal branch of anterior internodal tract
161,atrial myocyte,CL:0000115,Heart,atrial cardiomyocyte,CL:0002129,regular atrial cardiac myocyte,CL:1000288;CL:1000289;CL:1000372;CL:1000363;CL:1000365,myocyte of atrial branch of anterior internodal tract;myocyte of atrial septal branch of anterior internodal tract;transitional myocyte of atrial part of atrioventricular bundle;transitional myocyte of atrial branch of anterior internodal tract;transitional myocyte of atrial septal branch of anterior internodal tract
162,atrial myocyte,CL:0002350,Heart,atrial cardiomyocyte,CL:0002129,regular atrial cardiac myocyte,CL:1000288;CL:1000289;CL:1000372;CL:1000363;CL:1000365,myocyte of atrial branch of anterior internodal tract;myocyte of atrial septal branch of anterior internodal tract;transitional myocyte of atrial part of atrioventricular bundle;transitional myocyte of atrial branch of anterior internodal tract;transitional myocyte of atrial septal branch of anterior internodal tract
163,atrial myocyte,CL:0000057,Heart,atrial cardiomyocyte,CL:0002129,regular atrial cardiac myocyte,CL:1000288;CL:1000289;CL:1000372;CL:1000363;CL:1000365,myocyte of atrial branch of anterior internodal tract;myocyte of atrial septal branch of anterior internodal tract;transitional myocyte of atrial part of atrioventricular bundle;transitional myocyte of atrial branch of anterior internodal tract;transitional myocyte of atrial septal branch of anterior internodal tract
164,atrial myocyte,,Heart,atrial cardiomyocyte,CL:0002129,regular atrial cardiac myocyte,CL:1000288;CL:1000289;CL:1000372;CL:1000363;CL:1000365,myocyte of atrial branch of anterior internodal tract;myocyte of atrial septal branch of anterior internodal tract;transitional myocyte of atrial part of atrioventricular bundle;transitional myocyte of atrial branch of anterior internodal tract;transitional myocyte of atrial septal branch of anterior internodal tract
165,atrial myocyte,CL:0000746,Heart,atrial cardiomyocyte,CL:0002129,regular atrial cardiac myocyte,CL:1000288;CL:1000289;CL:1000372;CL:1000363;CL:1000365,myocyte of atrial branch of anterior internodal tract;myocyte of atrial septal branch of anterior internodal tract;transitional myocyte of atrial part of atrioventricular bundle;transitional myocyte of atrial branch of anterior internodal tract;transitional myocyte of atrial septal branch of anterior internodal tract
166,basal cell,,Mammary_Gland,,CL:0000646,basal cell,CL:1000349;CL:0002234;CL:0002187;CL:1000486;CL:0002341;CL:0002169;CL:1000350;CL:1000352;CL:1000351,basal cell of epithelium of bronchus;basal cell of prostatic acinus;basal cell of epidermis;basal cell of urothelium;basal cell of prostate epithelium;basal cell of olfactory epithelium;basal cell of epithelium of terminal bronchiole;basal cell of epithelium of lobular bronchiole;basal cell of epithelium of respiratory bronchiole
167,basal cell,CL:0000646,Mammary_Gland,basal cell,CL:0000646,basal cell,CL:1000349;CL:0002234;CL:0002187;CL:1000486;CL:0002341;CL:0002169;CL:1000350;CL:1000352;CL:1000351,basal cell of epithelium of bronchus;basal cell of prostatic acinus;basal cell of epidermis;basal cell of urothelium;basal cell of prostate epithelium;basal cell of olfactory epithelium;basal cell of epithelium of terminal bronchiole;basal cell of epithelium of lobular bronchiole;basal cell of epithelium of respiratory bronchiole
168,basal cell,CL:0000646,Mammary_Gland,,CL:0000646,basal cell,CL:1000349;CL:0002234;CL:0002187;CL:1000486;CL:0002341;CL:0002169;CL:1000350;CL:1000352;CL:1000351,basal cell of epithelium of bronchus;basal cell of prostatic acinus;basal cell of epidermis;basal cell of urothelium;basal cell of prostate epithelium;basal cell of olfactory epithelium;basal cell of epithelium of terminal bronchiole;basal cell of epithelium of lobular bronchiole;basal cell of epithelium of respiratory bronchiole
169,basal cell,,Mammary_Gland,basal cell,CL:0000646,basal cell,CL:1000349;CL:0002234;CL:0002187;CL:1000486;CL:0002341;CL:0002169;CL:1000350;CL:1000352;CL:1000351,basal cell of epithelium of bronchus;basal cell of prostatic acinus;basal cell of epidermis;basal cell of urothelium;basal cell of prostate epithelium;basal cell of olfactory epithelium;basal cell of epithelium of terminal bronchiole;basal cell of epithelium of lobular bronchiole;basal cell of epithelium of respiratory bronchiole
170,basal cell,CL:0000115,Mammary_Gland,basal cell,CL:0000646,basal cell,CL:1000349;CL:0002234;CL:0002187;CL:1000486;CL:0002341;CL:0002169;CL:1000350;CL:1000352;CL:1000351,basal cell of epithelium of bronchus;basal cell of prostatic acinus;basal cell of epidermis;basal cell of urothelium;basal cell of prostate epithelium;basal cell of olfactory epithelium;basal cell of epithelium of terminal bronchiole;basal cell of epithelium of lobular bronchiole;basal cell of epithelium of respiratory bronchiole
171,basal cell,,Mammary_Gland,basal cell,CL:0000646,basal cell,CL:1000349;CL:0002234;CL:0002187;CL:1000486;CL:0002341;CL:0002169;CL:1000350;CL:1000352;CL:1000351,basal cell of epithelium of bronchus;basal cell of prostatic acinus;basal cell of epidermis;basal cell of urothelium;basal cell of prostate epithelium;basal cell of olfactory epithelium;basal cell of epithelium of terminal bronchiole;basal cell of epithelium of lobular bronchiole;basal cell of epithelium of respiratory bronchiole
172,basal cell of epidermis,CL:0002187,Tongue,,CL:0002187,basal cell of epidermis,CL:2000033,limb basal cell of epidermis
173,basal cell of epidermis,CL:0000312,Tongue,basal,CL:0002187,basal cell of epidermis,CL:2000033,limb basal cell of epidermis
174,basal cell of epidermis,CL:0002187,Skin,,CL:0002187,basal cell of epidermis,CL:2000033,limb basal cell of epidermis
175,basal cell of epidermis,,Tongue,,CL:0002187,basal cell of epidermis,CL:2000033,limb basal cell of epidermis
176,basal cell of epidermis,CL:0000738,Skin,,CL:0002187,basal cell of epidermis,CL:2000033,limb basal cell of epidermis
177,basal cell of epidermis,CL:1000428,Skin,,CL:0002187,basal cell of epidermis,CL:2000033,limb basal cell of epidermis
178,basal cell of epidermis,,Skin,Basal IFE,CL:0002187,basal cell of epidermis,CL:2000033,limb basal cell of epidermis
179,basal cell of epidermis,CL:0000362,Skin,,CL:0002187,basal cell of epidermis,CL:2000033,limb basal cell of epidermis
180,basal cell of epidermis,CL:0000312,Tongue,,CL:0002187,basal cell of epidermis,CL:2000033,limb basal cell of epidermis
181,basal cell of epidermis,CL:0002187,Tongue,basal,CL:0002187,basal cell of epidermis,CL:2000033,limb basal cell of epidermis
182,basal cell of epidermis,CL:0002187,Skin,Basal IFE,CL:0002187,basal cell of epidermis,CL:2000033,limb basal cell of epidermis
183,basal cell of epidermis,,Tongue,basal,CL:0002187,basal cell of epidermis,CL:2000033,limb basal cell of epidermis
184,basal cell of epidermis,CL:0002337,Skin,,CL:0002187,basal cell of epidermis,CL:2000033,limb basal cell of epidermis
185,basal cell of epidermis,,Skin,,CL:0002187,basal cell of epidermis,CL:2000033,limb basal cell of epidermis
186,basal epithelial cell of tracheobronchial tree,CL:0000066,Trachea,,CL:0002329,basal epithelial cell of tracheobronchial tree,,
187,basal epithelial cell of tracheobronchial tree,,Trachea,,CL:0002329,basal epithelial cell of tracheobronchial tree,,
188,basophil,CL:0000767,Marrow,basophil,CL:0000767,basophil,CL:0000639;CL:0000549;CL:0002028;CL:0000614;CL:0000613;CL:0000829;CL:0000830;CL:0000769,basophil cell of pars distalis of adenohypophysis;basophilic erythroblast;basophil mast progenitor cell;basophilic myelocyte;basophil progenitor cell;basophilic myeloblast;basophilic promyelocyte;basophilic metamyelocyte
189,basophil,CL:0000823,Marrow,basophil,CL:0000767,basophil,CL:0000639;CL:0000549;CL:0002028;CL:0000614;CL:0000613;CL:0000829;CL:0000830;CL:0000769,basophil cell of pars distalis of adenohypophysis;basophilic erythroblast;basophil mast progenitor cell;basophilic myelocyte;basophil progenitor cell;basophilic myeloblast;basophilic promyelocyte;basophilic metamyelocyte
190,basophil,CL:0000788,Marrow,basophil,CL:0000767,basophil,CL:0000639;CL:0000549;CL:0002028;CL:0000614;CL:0000613;CL:0000829;CL:0000830;CL:0000769,basophil cell of pars distalis of adenohypophysis;basophilic erythroblast;basophil mast progenitor cell;basophilic myelocyte;basophil progenitor cell;basophilic myeloblast;basophilic promyelocyte;basophilic metamyelocyte
191,basophil,CL:0002035,Marrow,basophil,CL:0000767,basophil,CL:0000639;CL:0000549;CL:0002028;CL:0000614;CL:0000613;CL:0000829;CL:0000830;CL:0000769,basophil cell of pars distalis of adenohypophysis;basophilic erythroblast;basophil mast progenitor cell;basophilic myelocyte;basophil progenitor cell;basophilic myeloblast;basophilic promyelocyte;basophilic metamyelocyte
192,basophil,CL:0000236,Marrow,basophil,CL:0000767,basophil,CL:0000639;CL:0000549;CL:0002028;CL:0000614;CL:0000613;CL:0000829;CL:0000830;CL:0000769,basophil cell of pars distalis of adenohypophysis;basophilic erythroblast;basophil mast progenitor cell;basophilic myelocyte;basophil progenitor cell;basophilic myeloblast;basophilic promyelocyte;basophilic metamyelocyte
193,basophil,,Marrow,basophil,CL:0000767,basophil,CL:0000639;CL:0000549;CL:0002028;CL:0000614;CL:0000613;CL:0000829;CL:0000830;CL:0000769,basophil cell of pars distalis of adenohypophysis;basophilic erythroblast;basophil mast progenitor cell;basophilic myelocyte;basophil progenitor cell;basophilic myeloblast;basophilic promyelocyte;basophilic metamyelocyte
194,bladder cell,CL:1001319,Bladder,bladder mesenchymal cell (Car3+),CL:1001319,bladder cell,CL:1001428;CL:2000040;CL:1001592;CL:1000442;CL:0002597;CL:1000415,bladder urothelial cell;bladder microvascular endothelial cell;gall bladder glandular cell;urothelial cell of trigone of urinary bladder;smooth muscle cell of bladder;epithelial cell of gall bladder
195,bladder cell,,Bladder,bladder mesenchymal cell (Car3+),CL:1001319,bladder cell,CL:1001428;CL:2000040;CL:1001592;CL:1000442;CL:0002597;CL:1000415,bladder urothelial cell;bladder microvascular endothelial cell;gall bladder glandular cell;urothelial cell of trigone of urinary bladder;smooth muscle cell of bladder;epithelial cell of gall bladder
196,bladder cell,CL:1001428,Bladder,bladder mesenchymal cell (Car3+),CL:1001319,bladder cell,CL:1001428;CL:2000040;CL:1001592;CL:1000442;CL:0002597;CL:1000415,bladder urothelial cell;bladder microvascular endothelial cell;gall bladder glandular cell;urothelial cell of trigone of urinary bladder;smooth muscle cell of bladder;epithelial cell of gall bladder
197,bladder cell,,Bladder,,CL:1001319,bladder cell,CL:1001428;CL:2000040;CL:1001592;CL:1000442;CL:0002597;CL:1000415,bladder urothelial cell;bladder microvascular endothelial cell;gall bladder glandular cell;urothelial cell of trigone of urinary bladder;smooth muscle cell of bladder;epithelial cell of gall bladder
198,bladder cell,CL:1001319,Bladder,,CL:1001319,bladder cell,CL:1001428;CL:2000040;CL:1001592;CL:1000442;CL:0002597;CL:1000415,bladder urothelial cell;bladder microvascular endothelial cell;gall bladder glandular cell;urothelial cell of trigone of urinary bladder;smooth muscle cell of bladder;epithelial cell of gall bladder
199,bladder urothelial cell,CL:1001319,Bladder,,CL:1001428,bladder urothelial cell,CL:1000442,urothelial cell of trigone of urinary bladder
200,bladder urothelial cell,CL:1001428,Bladder,,CL:1001428,bladder urothelial cell,CL:1000442,urothelial cell of trigone of urinary bladder
201,bladder urothelial cell,,Bladder,,CL:1001428,bladder urothelial cell,CL:1000442,urothelial cell of trigone of urinary bladder
202,brain pericyte,CL:0000128,Brain_Non-Myeloid,Pericyte,CL:2000043,brain pericyte,,
203,brain pericyte,CL:2000043,Brain_Non-Myeloid,Pericyte,CL:2000043,brain pericyte,,
204,brain pericyte,,Brain_Non-Myeloid,Pericyte,CL:2000043,brain pericyte,,
205,brain pericyte,CL:0000115,Brain_Non-Myeloid,Pericyte,CL:2000043,brain pericyte,,
206,bronchial smooth muscle cell,,Lung,Capillary Type 2 Cell,CL:0002598,bronchial smooth muscle cell,,
207,bronchial smooth muscle cell,,Lung,Capillary Type 1 Cell,CL:0002598,bronchial smooth muscle cell,,
208,bronchial smooth muscle cell,CL:1001567,Lung,Capillary,CL:0002598,bronchial smooth muscle cell,,
209,bronchial smooth muscle cell,CL:1001567,Lung,Capillary Aerocyte,CL:0002598,bronchial smooth muscle cell,,
210,bronchial smooth muscle cell,,Lung,Capillary Aerocyte,CL:0002598,bronchial smooth muscle cell,,
211,bronchial smooth muscle cell,,Lung,Capillary,CL:0002598,bronchial smooth muscle cell,,
212,bronchial smooth muscle cell,CL:0000499,Lung,Capillary,CL:0002598,bronchial smooth muscle cell,,
213,bulge keratinocyte,CL:0002337,Skin,,CL:0002337,keratinocyte stem cell,,
214,bulge keratinocyte,CL:0000738,Skin,outer bulge,CL:0002337,keratinocyte stem cell,,
215,bulge keratinocyte,CL:0002337,Skin,outer bulge,CL:0002337,keratinocyte stem cell,,
216,bulge keratinocyte,,Skin,,CL:0002337,keratinocyte stem cell,,
217,bulge keratinocyte,CL:0002337,Skin,inner bulge,CL:0002337,keratinocyte stem cell,,
218,bulge keratinocyte,,Skin,inner bulge,CL:0002337,keratinocyte stem cell,,
219,bulge keratinocyte,,Skin,outer bulge,CL:0002337,keratinocyte stem cell,,
220,chondrocyte,,Trachea,,CL:0000138,chondrocyte,CL:0019002;CL:1001607;CL:0000742;CL:0000744;CL:0000743;CL:1000217;CL:2000007,tracheobronchial chondrocyte;articular chondrocyte;periarticular chondrocyte;columnar chondrocyte;hypertrophic chondrocyte;growth plate cartilage chondrocyte;articular chondrocyte of knee joint
221,chondrocyte,CL:0000115,Trachea,,CL:0000138,chondrocyte,CL:0019002;CL:1001607;CL:0000742;CL:0000744;CL:0000743;CL:1000217;CL:2000007,tracheobronchial chondrocyte;articular chondrocyte;periarticular chondrocyte;columnar chondrocyte;hypertrophic chondrocyte;growth plate cartilage chondrocyte;articular chondrocyte of knee joint
222,chondrocyte,CL:0008019,Trachea,,CL:0000138,chondrocyte,CL:0019002;CL:1001607;CL:0000742;CL:0000744;CL:0000743;CL:1000217;CL:2000007,tracheobronchial chondrocyte;articular chondrocyte;periarticular chondrocyte;columnar chondrocyte;hypertrophic chondrocyte;growth plate cartilage chondrocyte;articular chondrocyte of knee joint
223,ciliated columnar cell of tracheobronchial tree,,Lung,Ciliated Cell,CL:0002145,ciliated columnar cell of tracheobronchial tree,,
224,ciliated columnar cell of tracheobronchial tree,,Lung,Ciliated,CL:0002145,ciliated columnar cell of tracheobronchial tree,,
225,ciliated columnar cell of tracheobronchial tree,,Trachea,,CL:0002145,ciliated columnar cell of tracheobronchial tree,,
226,ciliated columnar cell of tracheobronchial tree,CL:0002145,Lung,Ciliated,CL:0002145,ciliated columnar cell of tracheobronchial tree,,
227,ciliated columnar cell of tracheobronchial tree,CL:0000066,Trachea,,CL:0002145,ciliated columnar cell of tracheobronchial tree,,
228,classical monocyte,CL:0000860,Lung,Classical Monocyte,CL:0000860,classical monocyte,CL:0002057;CL:0000875;CL:0002396;CL:0002395;CL:0002469;CL:0002474;CL:0002470;CL:0002058;CL:0002473,"CD14-positive, CD16-negative classical monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;Gr1-high classical monocyte;MHC-II-negative classical monocyte;lymphoid MHC-II-negative classical monocyte;MHC-II-positive classical monocyte;Gr1-low non-classical monocyte;MHC-II-high non-classical monocyte"
229,classical monocyte,,Lung,Classical Monocyte,CL:0000860,classical monocyte,CL:0002057;CL:0000875;CL:0002396;CL:0002395;CL:0002469;CL:0002474;CL:0002470;CL:0002058;CL:0002473,"CD14-positive, CD16-negative classical monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;Gr1-high classical monocyte;MHC-II-negative classical monocyte;lymphoid MHC-II-negative classical monocyte;MHC-II-positive classical monocyte;Gr1-low non-classical monocyte;MHC-II-high non-classical monocyte"
230,club cell of bronchiole,,Lung,Club,CL:0000158,club cell,,
231,club cell of bronchiole,CL:0000082,Lung,Club,CL:0000158,club cell,,
232,club cell of bronchiole,,Lung,Club Cell,CL:0000158,club cell,,
233,dendritic cell,CL:0000763,Lung,Ccr7+ Dendritic,CL:0000451,dendritic cell,CL:0001056,"dendritic cell, human"
234,dendritic cell,,Lung,Ccr7+ Dendritic,CL:0000451,dendritic cell,CL:0001056,"dendritic cell, human"
235,dendritic cell,,Lung,Dendritic Cell,CL:0000451,dendritic cell,CL:0001056,"dendritic cell, human"
236,early pro-B cell,,Marrow,early pro B cell,CL:0002046,early pro-B cell,,
237,early pro-B cell,CL:0000817,Marrow,early pro B cell,CL:0002046,early pro-B cell,,
238,early pro-B cell,CL:0002048,Marrow,early pro B cell,CL:0002046,early pro-B cell,,
239,endocardial cell,,Heart,endothelial cell of endocardium,CL:0002350,endocardial cell,CL:0008022,endocardial cushion cell
240,endocardial cell,CL:0002350,Heart,endothelial cell of endocardium,CL:0002350,endocardial cell,CL:0008022,endocardial cushion cell
241,endocardial cell,CL:0000057,Heart,endothelial cell of endocardium,CL:0002350,endocardial cell,CL:0008022,endocardial cushion cell
242,endothelial cell,,MAT,,CL:0000115,endothelial cell,CL:0002652;CL:0002651;CL:0002138;CL:0002139;CL:1000413;CL:0002262;CL:1000412;CL:1000414;CL:1000398,endothelial cell of high endothelial venule;endothelial cell of venous sinus of spleen;endothelial cell of lymphatic vessel;endothelial cell of vascular tree;endothelial cell of artery;endothelial cell of sinusoid;endothelial cell of arteriole;endothelial cell of venule;endothelial cell of hepatic sinusoid
243,endothelial cell,CL:0002570,MAT,,CL:0000115,endothelial cell,CL:0002652;CL:0002651;CL:0002138;CL:0002139;CL:1000413;CL:0002262;CL:1000412;CL:1000414;CL:1000398,endothelial cell of high endothelial venule;endothelial cell of venous sinus of spleen;endothelial cell of lymphatic vessel;endothelial cell of vascular tree;endothelial cell of artery;endothelial cell of sinusoid;endothelial cell of arteriole;endothelial cell of venule;endothelial cell of hepatic sinusoid
244,endothelial cell,CL:0000066,Trachea,,CL:0000115,endothelial cell,CL:0002652;CL:0002651;CL:0002138;CL:0002139;CL:1000413;CL:0002262;CL:1000412;CL:1000414;CL:1000398,endothelial cell of high endothelial venule;endothelial cell of venous sinus of spleen;endothelial cell of lymphatic vessel;endothelial cell of vascular tree;endothelial cell of artery;endothelial cell of sinusoid;endothelial cell of arteriole;endothelial cell of venule;endothelial cell of hepatic sinusoid
245,endothelial cell,CL:0000115,Trachea,,CL:0000115,endothelial cell,CL:0002652;CL:0002651;CL:0002138;CL:0002139;CL:1000413;CL:0002262;CL:1000412;CL:1000414;CL:1000398,endothelial cell of high endothelial venule;endothelial cell of venous sinus of spleen;endothelial cell of lymphatic vessel;endothelial cell of vascular tree;endothelial cell of artery;endothelial cell of sinusoid;endothelial cell of arteriole;endothelial cell of venule;endothelial cell of hepatic sinusoid
246,endothelial cell,,BAT,,CL:0000115,endothelial cell,CL:0002652;CL:0002651;CL:0002138;CL:0002139;CL:1000413;CL:0002262;CL:1000412;CL:1000414;CL:1000398,endothelial cell of high endothelial venule;endothelial cell of venous sinus of spleen;endothelial cell of lymphatic vessel;endothelial cell of vascular tree;endothelial cell of artery;endothelial cell of sinusoid;endothelial cell of arteriole;endothelial cell of venule;endothelial cell of hepatic sinusoid
247,endothelial cell,,Diaphragm,new-cluster,CL:0000115,endothelial cell,CL:0002652;CL:0002651;CL:0002138;CL:0002139;CL:1000413;CL:0002262;CL:1000412;CL:1000414;CL:1000398,endothelial cell of high endothelial venule;endothelial cell of venous sinus of spleen;endothelial cell of lymphatic vessel;endothelial cell of vascular tree;endothelial cell of artery;endothelial cell of sinusoid;endothelial cell of arteriole;endothelial cell of venule;endothelial cell of hepatic sinusoid
